%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697390942673755,0,158697390942673755,,-0.00759839104826,0.0296526768329,-0.913872928369,0.0169464343017,0.999170949022,0.0101006209364,0.0356119414447,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697390972977780,1,158697390972977780,,-0.00756753577963,0.0296735993423,-0.913870752788,0.0169586083288,0.99916920263,0.0101791477084,0.0356326954862,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391003281805,2,158697391003281805,,-0.00758653385111,0.0296669925005,-0.913871987566,0.016956708248,0.999171452934,0.0100985893814,0.0355932982549,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391033585830,3,158697391033585830,,-0.00758822141869,0.0296793904089,-0.913871523158,0.0169620524429,0.999170480864,0.0100854777107,0.0356217783274,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391063889855,4,158697391063889855,,-0.00757941318083,0.0296822214665,-0.913871476389,0.0169666599679,0.99917045227,0.0101293649683,0.0356080514878,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391094193880,5,158697391094193880,,-0.00758044884569,0.0296658072128,-0.91387185578,0.0169524100451,0.99916959356,0.0101743197387,0.0356260923096,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391124497905,6,158697391124497905,,-0.00758544883605,0.029656733022,-0.913872686496,0.0169546136027,0.999171461223,0.0100838784412,0.0355982819307,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391154801930,7,158697391154801930,,-0.00759517859692,0.0296669344214,-0.913871815161,0.0169582343548,0.999171230005,0.0100942044374,0.035600208146,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391185105955,8,158697391185105955,,-0.00756164054582,0.0296707227969,-0.913870463297,0.0169557859833,0.999168821332,0.0101688118964,0.0356476531681,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391215409980,9,158697391215409980,,-0.00757850279079,0.0296781380573,-0.913872186542,0.0169650409656,0.999170613984,0.0101530378103,0.035597451612,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391245714005,10,158697391245714005,,-0.00758655460159,0.0296721189327,-0.913872916545,0.0169630563153,0.999172217837,0.0101348151967,0.0355584179181,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
