left_wam/base_yaw_joint_pos,left_wam/base_yaw_joint_vel,left_wam/base_yaw_joint_eff,left_wam/shoulder_pitch_joint_pos,left_wam/shoulder_pitch_joint_vel,left_wam/shoulder_pitch_joint_eff,left_wam/shoulder_yaw_joint_pos,left_wam/shoulder_yaw_joint_vel,left_wam/shoulder_yaw_joint_eff,left_wam/elbow_pitch_joint_pos,left_wam/elbow_pitch_joint_vel,left_wam/elbow_pitch_joint_eff,left_wam/wrist_yaw_joint_pos,left_wam/wrist_yaw_joint_vel,left_wam/wrist_yaw_joint_eff,left_wam/wrist_pitch_joint_pos,left_wam/wrist_pitch_joint_vel,left_wam/wrist_pitch_joint_eff,left_wam/palm_yaw_joint_pos,left_wam/palm_yaw_joint_vel,left_wam/palm_yaw_joint_eff,header_from_controller_start
1508285148.6935158,1.6110450608008482,-4.679232775541838e-06,0.0,-1.6574051535799441,0.013132314724619582,0.0,0.017788721931414564,0.022062347402293805,0.0,0.26614566669815876,-5.6620723980868274e-05,0.0,-0.36918331436278656,6.646263501322186e-15,0.0,-0.03186568337721202,-6.646263498603765e-15,0.0,0.02938503049801028,-0.006980558228495401,0.0,66.82081158
1508285148.7135184,1.6110450608008482,-1.4973544881733862e-09,0.0,-1.6574323036823846,-0.0018096241989184775,0.0,0.01774310982389804,-0.0030401643207590145,0.0,0.26614566669815876,0.0013637817842976124,0.0,-0.36918331436278656,0.006345063619258608,0.0,-0.03186568337721202,-0.00634506361925638,0.0,0.029487775359891433,0.034524732838675215,0.0,66.840814155
1508285148.7335157,1.6110450608008482,-0.0005841374333671756,0.0,-1.657459453784825,-0.012595728958496227,0.0,0.017788721931414342,0.021158848982826953,0.0,0.26614566669815876,-0.03265249793080749,0.0,-0.36918331436278656,2.0304203581627523e-06,0.0,-0.03186568337721202,-2.030420358162039e-06,0.0,0.029487775359891433,-0.009863184239277033,0.0,66.860811531
1508285148.7535183,1.6110450608008482,-1.8692397867749595e-07,0.0,-1.6574323036823846,-0.013489648395736522,0.0,0.01774310982389804,-0.013812360490282302,0.0,0.26614566669815876,-6.48516045025096e-05,0.0,-0.36918331436278656,6.497345146120799e-10,0.0,-0.03186568337721202,-6.497345146118518e-10,0.0,0.029487775359891433,0.0016361901820613148,0.0,66.880814152
1508285148.7735171,1.6110450608008482,-5.981567317679863e-11,0.0,-1.6574323036823846,0.009449940360061538,0.0,0.01774310982389804,-0.02202710171711396,0.0,0.26614566669815876,0.00027270671019204135,0.0,-0.36910424318815327,2.0791504467586535e-13,0.0,-0.03194475455184531,-2.0791504467579237e-13,0.0,0.02938503049801028,0.0003293309705903157,0.0,66.900812853
1508285148.7935169,1.6110450608008482,-1.914101541657554e-14,0.0,-1.6574323036823846,-0.0021686238525341173,0.0,0.017834334038930866,0.03866577510563315,0.0,0.26614566669815876,0.006816648521134107,0.0,-0.36918331436278656,0.03157260706283123,0.0,-0.03186568337721202,-0.03157260706282013,0.0,0.029487775359891433,0.0017093238675757359,0.0,66.920812672
1508285148.8135238,1.6110450608008482,0.0029353780459857918,0.0,-1.6574051535799441,0.013460533827434805,0.0,0.017788721931414564,0.02262720370932743,0.0,0.2662308878530413,0.03540626421847338,0.0,-0.36918331436278656,-0.031575472389465925,0.0,-0.03186568337721202,0.03157547238946593,0.0,0.02938503049801028,-0.04307802109351022,0.0,66.940819474
1508285148.833517,1.6110450608008482,-0.01458100150419536,0.0,-1.6574323036823846,0.002175955204274116,0.0,0.01774310982389804,-0.03166212871078053,0.0,0.26614566669815876,6.55458584940656e-05,0.0,-0.36918331436278656,0.006314540312227472,0.0,-0.03186568337721202,-0.006314540312227472,0.0,0.029487775359891433,-0.009934385397179626,0.0,66.960812774
1508285148.853519,1.6110450608008482,-0.0005870683604001118,0.0,-1.6574323036823846,0.008816518978560041,0.0,0.01774310982389804,-0.014820693000884965,0.0,0.26614566669815876,-0.0054681796585508815,0.0,-0.36918331436278656,-0.007339598554237628,0.0,-0.03186568337721202,0.007339598554237628,0.0,0.02938503049801028,0.008227799822841244,0.0,66.980814747
1508285148.8735194,1.6110450608008482,-1.8786187532803557e-07,0.0,-1.6574323036823846,0.0026090645701508635,0.0,0.01774310982389804,-0.0029290794291238617,0.0,0.2662308878530413,0.039459759274715525,0.0,-0.36918331436278656,0.0012580733486018294,0.0,-0.03186568337721202,-0.0012580733486018294,0.0,0.029487775359891433,0.03316046825786654,0.0,67.000815244
1508285148.8935184,1.6110450608008482,-6.011580010497133e-11,0.0,-1.6574323036823846,0.011314871986256055,0.0,0.01774310982389804,-0.011710026505818016,0.0,0.26614566669815876,0.0014299326126131857,0.0,-0.36918331436278656,4.02583471552585e-07,0.0,-0.03186568337721202,-4.02583471552585e-07,0.0,0.02938503049801028,-5.507182198583436e-05,0.0,67.020814285
1508285148.9135218,1.6110450608008482,-1.9237056033590804e-14,0.0,-1.6574323036823846,0.008289757712682937,0.0,0.01774310982389804,-0.021250853855744538,0.0,0.26614566669815876,-0.0013626921994054518,0.0,-0.36918331436278656,1.2882671089682703e-10,0.0,-0.03186568337721202,-1.2882671089682703e-10,0.0,0.02938503049801028,-1.762298303546698e-08,0.0,67.040817557
1508285148.93352,1.6110450608008482,0.0006990781314134392,0.0,-1.657459453784825,-0.011386165382238616,0.0,0.017788721931414342,-0.019139987597918604,0.0,0.26614566669815876,0.0068682341694311436,0.0,-0.36918331436278656,0.0003036553193422814,0.0,-0.03186568337721202,-0.0003036553193422814,0.0,0.02938503049801028,0.006248691472707376,0.0,67.060815807
1508285148.95352,1.6110450608008482,2.2370500205230027e-07,0.0,-1.6574323036823846,0.0026262262784388897,0.0,0.01774310982389804,0.004119168899553447,0.0,0.26614566669815876,-0.0002166756127733347,0.0,-0.36918331436278656,0.0002539604255225924,0.0,-0.03186568337721202,-0.00025396042552250326,0.0,0.029487775359891433,0.04098078813874911,0.0,67.080815844
1508285148.9735186,1.6110450608008482,7.158560065673602e-11,0.0,-1.6574323036823846,-0.0021573897875482493,0.0,0.01774310982389804,-0.005140784172153676,0.0,0.26614566669815876,-0.006828839357609776,0.0,-0.36918331436278656,-0.00020262027359212626,0.0,-0.03186568337721202,0.00020262027359212626,0.0,0.02938503049801028,-0.006183173925918638,0.0,67.100814338
1508285148.993519,1.6110450608008482,-2.3401748810109813e-05,0.0,-1.6574051535799441,0.021495773343620832,0.0,0.017788721931414564,-0.008030741071158871,0.0,0.26614566669815876,-0.041022206707921914,0.0,-0.36926238553741986,0.0012650148384193453,0.0,-0.03178661220257875,-0.0012650148384189012,0.0,0.029487775359891433,-0.0003309036466726908,0.0,67.120814854
1508285149.0135262,1.6110450608008482,0.0029301068789217215,0.0,-1.6574323036823846,6.878647469958659e-06,0.0,0.01774310982389804,-0.04403112826768224,0.0,0.2662308878530413,0.0065510789552770485,0.0,-0.36918331436278656,0.0002534509041658416,0.0,-0.03186568337721202,-0.00025345090416575264,0.0,0.029487775359891433,-0.008308740286041937,0.0,67.140822021
