left_wam/base_yaw_joint_pos,left_wam/base_yaw_joint_vel,left_wam/base_yaw_joint_eff,left_wam/shoulder_pitch_joint_pos,left_wam/shoulder_pitch_joint_vel,left_wam/shoulder_pitch_joint_eff,left_wam/shoulder_yaw_joint_pos,left_wam/shoulder_yaw_joint_vel,left_wam/shoulder_yaw_joint_eff,left_wam/elbow_pitch_joint_pos,left_wam/elbow_pitch_joint_vel,left_wam/elbow_pitch_joint_eff,left_wam/wrist_yaw_joint_pos,left_wam/wrist_yaw_joint_vel,left_wam/wrist_yaw_joint_eff,left_wam/wrist_pitch_joint_pos,left_wam/wrist_pitch_joint_vel,left_wam/wrist_pitch_joint_eff,left_wam/palm_yaw_joint_pos,left_wam/palm_yaw_joint_vel,left_wam/palm_yaw_joint_eff,header_from_controller_start
1508285252.3347828,1.6110450608008482,-0.014774440647285022,0.0,-1.657459453784825,-0.012700272364417866,0.0,0.017788721931414342,-0.012576763365099452,0.0,0.26614566669815876,-0.0013626901678442018,0.0,-0.3694995990613197,-0.024397734081520794,0.0,-0.031707541027945485,0.03705007142137763,0.0,0.029487775359891433,0.00789169064587788,0.0,170.46207854
1508285252.354778,1.6110450608008482,0.0029079764789312424,0.0,-1.6574051535799441,0.02117618350238956,0.0,0.017788721931414564,-0.0007600253650490312,0.0,0.2662308878530413,-4.3606085371014414e-07,0.0,-0.3694995990613197,-0.0017663242800113276,0.0,-0.031707541027945485,0.0017703730279601696,0.0,0.02938503049801028,-0.042431154119313697,0.0,170.482073718
1508285252.3747766,1.6110815841529407,0.01460610674361938,0.0,-1.657459453784825,0.00028630852373381937,0.0,0.017788721931414342,-0.0007604096289117464,0.0,0.26614566669815876,-0.0010943210686948273,0.0,-0.36942052788668645,0.00030187705318965676,0.0,-0.03178661220257875,-0.00030187575759040155,0.0,0.029487775359891433,0.006561978341640208,0.0,170.502072309
1508285252.3947775,1.6110450608008482,0.0006811227943872808,0.0,-1.657459453784825,1.739673597573912e-05,0.0,0.017788721931414342,-2.9315886893336535e-05,0.0,0.2662308878530413,0.035377814668192994,0.0,-0.3694995990613197,9.660065702069006e-08,0.0,-0.031707541027945485,-9.660024242892839e-08,0.0,0.029487775359891433,0.001642031088315185,0.0,170.522073177
1508285252.4147763,1.6110450608008482,-0.00046721696234371807,0.0,-1.6574323036823846,0.013082956051650718,0.0,0.01774310982389804,-0.021979335074114287,0.0,0.26614566669815876,-0.0339667146564944,0.0,-0.36942052788668645,0.0012644767864900118,0.0,-0.03178661220257875,-0.0012644767864903234,0.0,0.029487775359891433,0.0012501852616312345,0.0,170.542071987
1508285252.4347782,1.6110815841529407,0.014512230900939895,0.0,-1.657459453784825,2.1578384927235705e-05,0.0,0.017788721931414342,-0.0014903973456051535,0.0,0.26614566669815876,-0.041243112147485175,0.0,-0.3694995990613197,-0.02690602726106863,0.0,-0.031707541027945485,0.024283880241112547,0.0,0.029487775359891433,0.04246337155471501,0.0,170.562073964
1508285252.4547784,1.6110450608008482,0.00012148532341746966,0.0,-1.657459453784825,-0.011744307719869488,0.0,0.017788721931414342,-0.017979718010498056,0.0,0.26614566669815876,-0.0016491400024528618,0.0,-0.3694995990613197,-0.03801021627267568,0.0,-0.03186568337721202,-0.025439671189159317,0.0,0.029487775359891433,0.006263398599159741,0.0,170.582074278
1508285252.474777,1.6110450608008482,0.0001170336566112807,0.0,-1.657459453784825,-0.002142814955139065,0.0,0.017788721931414342,0.003353874429856797,0.0,0.26614566669815876,0.0013634348063067663,0.0,-0.3695786702359529,-0.005026835063777023,0.0,-0.03178661220257875,0.00510748475885942,0.0,0.029487775359891433,0.041052043714302364,0.0,170.602072641
1508285252.4947796,1.6110450608008482,-0.014582546249837585,0.0,-1.6574323036823846,0.000433799224041825,0.0,0.01774310982389804,-0.03563340448230388,0.0,0.26614566669815876,0.007078798552872749,0.0,-0.36942052788668645,-0.011368953587474568,0.0,-0.03178661220257875,0.001267015748356198,0.0,0.02938503049801028,-0.0492170013939056,0.0,170.62207529
1508285252.5147781,1.6110815841529407,0.014046304668138021,0.0,-1.657459453784825,-0.002172285808385655,0.0,0.017788721931414342,0.003638265511429951,0.0,0.2662308878530413,0.02870167812723695,0.0,-0.3694995990613197,0.019029976473597984,0.0,-0.03186568337721202,-0.031687022626046814,0.0,0.029487775359891433,0.048986519097013556,0.0,170.642073895
