left_wam/base_yaw_joint_pos,left_wam/base_yaw_joint_vel,left_wam/base_yaw_joint_eff,left_wam/shoulder_pitch_joint_pos,left_wam/shoulder_pitch_joint_vel,left_wam/shoulder_pitch_joint_eff,left_wam/shoulder_yaw_joint_pos,left_wam/shoulder_yaw_joint_vel,left_wam/shoulder_yaw_joint_eff,left_wam/elbow_pitch_joint_pos,left_wam/elbow_pitch_joint_vel,left_wam/elbow_pitch_joint_eff,left_wam/wrist_yaw_joint_pos,left_wam/wrist_yaw_joint_vel,left_wam/wrist_yaw_joint_eff,left_wam/wrist_pitch_joint_pos,left_wam/wrist_pitch_joint_vel,left_wam/wrist_pitch_joint_eff,left_wam/palm_yaw_joint_pos,left_wam/palm_yaw_joint_vel,left_wam/palm_yaw_joint_eff,header_from_controller_start
1508285240.3546307,1.6110815841529407,0.013985566533464024,0.0,-1.657459453784825,-0.013040364981595574,0.0,0.017788721931414342,-0.015980767398021657,0.0,0.2662308878530413,-0.001085220962685726,0.0,-0.36918331436278656,-0.0012613200466437332,0.0,-0.03186568337721202,-0.0012613213417758903,0.0,0.029487775359891433,-0.001900705882616612,0.0,158.481926485
1508285240.3746333,1.6110450608008482,4.475381290708483e-06,0.0,-1.6574323036823846,0.01081794951290412,0.0,0.01774310982389804,-0.01818625378418033,0.0,0.2662308878530413,0.005726311334861961,0.0,-0.36926238553741986,-0.031721423998284905,0.0,-0.03194475455184531,-0.03172142399869935,0.0,0.02938503049801028,-6.082258824373152e-07,0.0,158.501929051
1508285240.3946342,1.6110815841529407,1.4321220130267129e-09,0.0,-1.657459453784825,0.002124387114299186,0.0,0.017788721931414342,-0.0035105257087979166,0.0,0.26614566669815876,-0.027444951047866633,0.0,-0.36918331436278656,0.006065455902292639,0.0,-0.03186568337721202,0.006569564839927947,0.0,0.029487775359891433,0.04157440240059616,0.0,158.521930009
1508285240.4146347,1.6110815841529407,0.014657580842451714,0.0,-1.657459453784825,-0.01131235106249119,0.0,0.017788721931414342,-0.0190651265220897,0.0,0.26614566669815876,0.008227353888974772,0.0,-0.36918331436278656,0.03041922448518531,0.0,-0.03186568337721202,0.032949846794220826,0.0,0.029487775359891433,0.03138273217470162,0.0,158.541930316
1508285240.4346309,1.6110450608008482,4.690425869584543e-06,0.0,-1.657459453784825,-0.009166386183340059,0.0,0.017788721931414342,-0.02303064516042031,0.0,0.26614566669815876,-0.0067993354828806045,0.0,-0.36926238553741986,-0.03955065581337676,0.0,-0.03178661220257875,0.024017126081298037,0.0,0.029487775359891433,0.001651926261099386,0.0,158.561926716
1508285240.454632,1.6110450608008482,-0.014675131228067085,0.0,-1.657459453784825,-0.004239790383661113,0.0,0.017788721931414342,-0.00015328694245113285,0.0,0.2662308878530413,0.034239800580349734,0.0,-0.36918331436278656,0.031758249698330195,0.0,-0.03186568337721202,0.03177859138853649,0.0,0.02938503049801028,-0.04252580104938728,0.0,158.581927681
1508285240.4746356,1.6110815841529407,-4.696041992981462e-06,0.0,-1.657459453784825,-0.013108236073893165,0.0,0.017788721931414342,-0.014425060621088573,0.0,0.26614566669815876,6.335939240318032e-05,0.0,-0.36918331436278656,0.037880803566304584,0.0,-0.03186568337721202,0.03788081007564545,0.0,0.02938503049801028,-0.006594854915919464,0.0,158.601931276
1508285240.4946349,1.6110450608008482,0.002850708741972472,0.0,-1.657459453784825,-0.009069514310306514,0.0,0.017788721931414342,0.02234530584368623,0.0,0.26614566669815876,0.0066516775126584686,0.0,-0.36918331436278656,0.03248397448268281,0.0,-0.03186568337721202,0.0324839744847658,0.0,0.029487775359891433,0.04225757929267121,0.0,158.621930673
1508285240.514635,1.6110450608008482,9.122267974311901e-07,0.0,-1.657459453784825,-0.009009073030579757,0.0,0.017788721931414342,0.0223978772093847,0.0,0.26614566669815876,-0.0013073209963963496,0.0,-0.36918331436278656,0.006303536125138505,0.0,-0.03186568337721202,0.006303536125139171,0.0,0.02938503049801028,-0.03269304928396575,0.0,158.641930848
1508285240.5346322,1.6110450608008482,2.9191257517798055e-10,0.0,-1.6574323036823846,0.01153731965049312,0.0,0.01774310982389804,-0.019380345518359144,0.0,0.26614566669815876,-0.006816979597705692,0.0,-0.36918331436278656,-0.006273011841371225,0.0,-0.03186568337721202,-0.006273011841371225,0.0,0.029487775359891433,0.0486560582584184,0.0,158.661928009
1508285240.5546327,1.6110450608008482,9.341202405695365e-14,0.0,-1.657459453784825,-0.00044788892602677714,0.0,0.017788721931414342,0.0007524530739987018,0.0,0.26614566669815876,-0.0003226220197971556,0.0,-0.36918331436278656,0.039315084968163994,0.0,-0.03186568337721202,0.026683862152677273,0.0,0.029487775359891433,-0.0003052811996858876,0.0,158.681928372
1508285240.5746336,1.6110450608008482,-0.01444914892545082,0.0,-1.657459453784825,0.0018223639743606874,0.0,0.017788721931414342,-0.003061567141713342,0.0,0.26614566669815876,-0.008177218032354468,0.0,-0.36918331436278656,0.02466992657826823,0.0,-0.03186568337721202,-0.037796714560186316,0.0,0.029487775359891433,0.032697281202972855,0.0,158.701929237
1508285240.5946362,1.6110450608008482,0.0028833228473429317,0.0,-1.6574323036823846,-0.0003473234275422036,0.0,0.01774310982389804,0.0008738833427021449,0.0,0.2662308878530413,0.03246592885106863,0.0,-0.36918331436278656,-0.007308197374843784,0.0,-0.03186568337721202,-0.007328186700008089,0.0,0.02938503049801028,0.001327055360177497,0.0,158.721931938
1508285240.6146371,1.6110450608008482,-0.002921157294245051,0.0,-1.657459453784825,-0.0017399055055517187,0.0,0.017788721931414342,0.0028649780167813127,0.0,0.26614566669815876,0.0055257355791202434,0.0,-0.36926238553741986,-0.005018860594193836,0.0,-0.03178661220257875,0.06085541587955795,0.0,0.02938503049801028,0.00782646273964731,0.0,158.741932922
1508285240.634633,1.6110450608008482,0.0005874091251046656,0.0,-1.657459453784825,-1.7421400397102177e-05,0.0,0.017788721931414342,-0.007269216857651668,0.0,0.26614566669815876,-0.03283054233793944,0.0,-0.36918331436278656,-0.0009732082431822455,0.0,-0.03186568337721202,-0.001458160345473403,0.0,0.029487775359891433,0.03302090203746202,0.0,158.761928819
1508285240.6546354,1.6110450608008482,-0.014090716036285606,0.0,-1.657459453784825,0.0017526742028554226,0.0,0.017788721931414342,0.002883777016735537,0.0,0.26614566669815876,-0.006816521354809551,0.0,-0.36918331436278656,-0.005857999253957689,0.0,-0.03186568337721202,-0.006365941683107281,0.0,0.02938503049801028,0.008281847090047674,0.0,158.781931238
1508285240.6746345,1.6110450608008482,-9.865594725178397e-05,0.0,-1.657459453784825,-0.006559814817423315,0.0,0.017788721931414342,0.0180873948139273,0.0,0.26614566669815876,-0.0002761827190018927,0.0,-0.36926238553741986,-0.0003065076008443668,0.0,-0.03194475455184531,-0.00030667014242169465,0.0,0.02938503049801028,0.008224795388637645,0.0,158.801930077
1508285240.6946375,1.6110450608008482,-2.34193625405074e-05,0.0,-1.657459453784825,-0.00010637138179424357,0.0,0.017788721931414342,0.00018096508326983943,0.0,0.26614566669815876,-0.033000436428363485,0.0,-0.36918331436278656,0.0076190715703637205,0.0,-0.03186568337721202,0.007619071518350417,0.0,0.029487775359891433,0.039788717996024195,0.0,158.821933251
1508285240.7146378,1.6110450608008482,-0.00288760830667394,0.0,-1.6574323036823846,0.0020770311207562843,0.0,0.01774310982389804,-0.0037812061151203946,0.0,0.2662308878530413,0.02762743205180522,0.0,-0.36918331436278656,0.025342407339034093,0.0,-0.03186568337721202,0.02534240733901745,0.0,0.029487775359891433,0.0015963247531408688,0.0,158.841933407
